tweet_id,retweeters,timestamps,n_rts,user_id,followers,n_network_followers,link,n_followers,text,topic,natures
592356406113673219,"['2410379587', '421163906', '1893391832', '2929208858', '2458435718', '2451245695', '2853629978', '2204760312', '1134333792', '1954650488', '2433183938', '239724782', '3007611380']","[1430044011.0, 1430044037.0, 1430044193.0, 1430044304.0, 1430044470.0, 1430044598.0, 1430044638.0, 1430045085.0, 1430045100.0, 1430045244.0, 1430045732.0, 1430047237.0, 1430047425.0, 1430048932.0]",13,388811527,,291,https://twitter.com/anyuser/status/592356406113673219,3250.0,Heavy rain in Kathmandu. Thousands of people on road. No shelter No Food. Death toll crosses 2400..,"7. Relief efforts, resources, donations, and infrastructure",0
592275479916220416,"['102717635', '1237871666', '2591399174', '374364001', '1666873268', '70047245', '1538522869', '398588101']","[1430027651.0, 1430028726.0, 1430028932.0, 1430042855.0, 1430042910.0, 1430044705.0, 1430045129.0, 1430045198.0, 1430048247.0]",8,10331222,,290,https://twitter.com/anyuser/status/592275479916220416,1018.0,"Interesting, the twist some #Christians & #Muslims gave to the #NepalEarthquake. #SoulVultures #ReligionOfPeace","6. Controversy, criticism, social and political commentary",2
592171122386292736,"['1616795485', '198017141', '49585853', '2483110664', '612658460', '329646412', '2592623010', '17988935', '82034430', '1263852733', '474002960']","[1429999905.0, 1430000107.0, 1430000303.0, 1430000564.0, 1430000753.0, 1430000856.0, 1430001085.0, 1430001355.0, 1430001606.0, 1430002225.0, 1430004707.0, 1430017051.0]",11,130220620,,289,https://twitter.com/anyuser/status/592171122386292736,5328.0,Any volunteers? #NepalEarthquake  https://twitter.com/LizEnslin/status/592099196599181312,1. Rescue operations and assistance,2
591967799377027072,"['451348612', '2423878620', '86949868', '100505622', '1707494304', '402686680', '717095252', '77347980', '1460902824', '289414660', '258963843', '249066758', '1032172358']","[1429951339.0, 1429951341.0, 1429951423.0, 1429951538.0, 1429951598.0, 1429951645.0, 1429951728.0, 1429951781.0, 1429951965.0, 1429952509.0, 1429952557.0, 1429952628.0, 1429952852.0, 1429952968.0]",13,90005200,,288,https://twitter.com/anyuser/status/591967799377027072,4700000.0,180 bodies retrieved from debris of Nepal's historic Dharhara tower http://ibnlive.in.com/news/180-bodies-retrieved-from-debris-of-nepals-historic-dharhara-tower/542009-2.html,"2. Impact, aftermath, death toll",0
592608707214729216,"['488331806', '249220430', '22201334', '27332025', '123855959', '389548615', '2386250495', '164387354', '409872868', '2915260629', '2963050944']","[1430104117.0, 1430104179.0, 1430104198.0, 1430104272.0, 1430104370.0, 1430104733.0, 1430104744.0, 1430104780.0, 1430104969.0, 1430105089.0, 1430105160.0, 1430105209.0]",11,14073010,,287,https://twitter.com/anyuser/status/592608707214729216,225800.0,#Latest: 5000 killed & 50000 injured after #NepalEarthquake. Txt NEPAL to 70123 to donate £5 & keep children safe T&C...,"7. Relief efforts, resources, donations, and infrastructure",0
591973861521887232,"['2302047488', '68013561', '872899471', '59636388', '491222579', '278566039', '362471829', '102142168']","[1429952772.0, 1429953039.0, 1429953712.0, 1429957538.0, 1429985834.0, 1429992390.0, 1430015188.0, 1430015952.0, 1430017388.0]",8,16062207,,286,https://twitter.com/anyuser/status/591973861521887232,122700.0,Insane shaking from this secuirty camera in #Kathmandu from the #NepalEarthquake https://youtube.com/watch?v=_MYZC2UmE_4,"5. Technology, communication, and social media",0
591924109887471616,"['1925929110', '2289109550', '498651143', '2198579185', '1966124460', '222832849', '68638150', '113678124', '2363834132', '581230076', '25984209', '562197486', '101707351', '1364850458', '137330103', '422834206', '474682316']","[1429940901.0, 1429940976.0, 1429941019.0, 1429941021.0, 1429941059.0, 1429941099.0, 1429941149.0, 1429941452.0, 1429941778.0, 1429942235.0, 1429942365.0, 1429942382.0, 1429944591.0, 1429944782.0, 1429945109.0, 1429946552.0, 1429948940.0, 1429948950.0]",17,2375531316,,285,https://twitter.com/anyuser/status/591924109887471616,17500.0,"Its not just lip service; 10 NDRF teams dispatched to Nepal from India along with 6 tonnes of medical aid, team of surgeons! #IndiaWithNepal","7. Relief efforts, resources, donations, and infrastructure",0
592605630034255872,"['29018320', '82846876', '708176525', '386003191', '37884933', '127318317']","[1430103566.0, 1430103638.0, 1430103695.0, 1430103711.0, 1430104087.0, 1430104244.0, 1430105035.0]",6,2915809346,,285,https://twitter.com/anyuser/status/592605630034255872,143400.0,"#BREAKING - #Nepal: Almost one million children need urgent help following quake, UNICEF says; death toll rises to 3,617","2. Impact, aftermath, death toll",0
592333148232491009,"['552783014', '52343977', '188354722', '1128813463', '278101136', '2479229563', '2799484693']","[1430038453.0, 1430038803.0, 1430038905.0, 1430039101.0, 1430039343.0, 1430040582.0, 1430044761.0, 1430103632.0]",7,1484608740,,284,https://twitter.com/anyuser/status/592333148232491009,81600.0,We stand ready to help Nepal reconstruct & strengthen its resilience: DG  @UNESCO  Irina Bokova  http://on.fb.me/1HDKgKS,4. International response and international support,0
591990694153031682,"['2900674839', '17545542', '53104607', '2900644657', '1365380834', '186415714', '18579266', '3026709283', '141250075', '2164850587', '1682995992', '16428216', '3022279009', '126847449', '8862412', '396803923', '18858719', '173392503', '160199542', '145988197', '104782572', '106765000', '475041559', '531444142', '71009804', '2469585468', '2389415959', '3147232288', '106371668', '291349358', '2594783550', '164213375', '43500867', '1598781301', '2468941219', '75071097', '113415132', '74807833', '71951921', '140534796', '2381667174', '45178643', '415850192', '2545646864', '79953600', '3157687134', '75804365', '2243532390', '359333693', '2439581444', '2607104712', '1672596146', '3108132091', '127182169', '51777003', '2535320252', '2530777274', '3141805521', '1260177030', '343263970', '48761231', '103271603', '16837716', '105168947', '94604692', '93615414', '2539922209', '3144983976', '70097458', '1397136900', '226524905', '6601682', '125259681', '3051908888', '239339329', '1645322550', '133625907', '428262914', '2999125644', '1503188923', '89953878', '786326630', '36396377', '175720423', '17205415', '19390021', '49163496', '139737576', '202572032', '2214955004', '571314279', '549814463', '17536757', '1668513284', '91962351', '122025193', '144181625', '111307250', '2494406071', '3167411562', '986704056', '47984812', '284321286', '1550479350', '3203608943', '71462240', '204219759', '1912973862', '231033118', '60101766', '571878474', '1344064076', '60473236', '1322199386', '1602700993', '719908958', '364125908', '1385153671', '378939961', '45643321', '250495841', '46083556', '2279174046', '2332153117', '36569809', '940859894', '303328401', '65884240', '19396025', '122437111', '75673353', '278115380', '93771608', '119667909', '56085486', '2337532045', '2343221881', '203040434', '2331655569', '31621004', '268329829', '56331691', '47273646', '2877884562', '540583640', '58514619', '2439561698', '3144876295', '114997906', '247661298', '239304636', '2534243372', '31635756', '320821799', '486398128', '247844735', '75748544', '97888984', '14087270', '2422653499', '725367222', '505694805', '101467320', '2911552226', '174292819', '1408143906', '416069362', '1565949176', '14582260', '36617340', '126333493', '1565215536', '47376468', '86254626', '106115085', '360068961', '3117208233', '1228438111', '604430370', '491233194', '751154724', '272816847', '316512201', '722374688', '111814706', '68918950', '363714280', '2963779707', '14932699', '2242432320', '448331888', '474600418', '2252235324', '2841946034', '210765042', '94036352', '1462520892', '706539253', '2936133404', '69826666', '122907716', '240619729', '58393246', '2940337202', '54028404', '3025301076', '20971086', '306670382', '197820203', '141532627', '2990700248', '2282087880', '629992971', '358072665', '893668874', '386746240', '2208936475', '2150448842', '102608260', '68062522', '82575888', '270321676', '3166490204', '832375106', '134062919', '373170962', '701085414', '166179937', '54558156', '3105819888', '3150384080', '78561415', '19334571', '871252922', '417935940', '349148908', '3073076046', '42280071', '2316939756', '1292150388', '80068683', '274600069', '265797115', '2289410850', '1442983560', '40646851', '100571588', '3036186056', '76605208', '1524207014', '458570404', '84796030', '2889354535', '325431847', '45136169', '131123692', '65323054', '2734022926', '169293204', '363933890', '287635755', '74417089', '240078360', '3073141208', '101445068', '141576823', '363818069', '55888538', '40469230', '413285203', '1041979093', '59322976', '2375531316', '630419679', '97169881', '174116474', '1198338674', '2214866704', '1964220799', '75830066', '83761636', '99696733', '114677367', '549869434', '48464350', '26985747', '12409902', '19579983', '2956323506', '225022698', '78323491', '929953556', '236760123', '1342407211', '3143306760', '2210194536', '44302495', '62022444', '103770785', '608795100', '250670670', '80093361', '92807203', '68060565', '279420026', '316939401', '334288533', '56680629', '3016469684', '2343153188', '1321807782', '407577854', '93607517', '17404570', '39118710', '415703991', '101681744', '50736167', '975846859', '142552730', '461933270', '1047048265', '55940181', '156209575', '2749184496', '2209188878', '1536523513', '217062841', '2459834850', '2792189803', '185119535', '260889921', '471941113', '43287899', '2945382804', '867808134', '99857708', '1369360440', '19770797', '1343524580']","[1429956802.0, 1429956862.0, 1429956964.0, 1429956969.0, 1429956975.0, 1429956976.0, 1429956977.0, 1429956983.0, 1429956986.0, 1429956986.0, 1429956987.0, 1429956989.0, 1429956989.0, 1429956991.0, 1429956993.0, 1429956996.0, 1429956998.0, 1429957000.0, 1429957004.0, 1429957024.0, 1429957033.0, 1429957034.0, 1429957042.0, 1429957043.0, 1429957046.0, 1429957081.0, 1429957088.0, 1429957089.0, 1429957108.0, 1429957112.0, 1429957155.0, 1429957159.0, 1429957207.0, 1429957218.0, 1429957218.0, 1429957219.0, 1429957241.0, 1429957278.0, 1429957289.0, 1429957290.0, 1429957321.0, 1429957325.0, 1429957339.0, 1429957389.0, 1429957394.0, 1429957396.0, 1429957403.0, 1429957410.0, 1429957410.0, 1429957412.0, 1429957453.0, 1429957459.0, 1429957581.0, 1429957592.0, 1429957592.0, 1429957597.0, 1429957608.0, 1429957651.0, 1429957702.0, 1429957711.0, 1429957757.0, 1429957757.0, 1429957780.0, 1429957823.0, 1429957850.0, 1429957938.0, 1429957943.0, 1429957953.0, 1429957960.0, 1429957963.0, 1429958024.0, 1429958090.0, 1429958093.0, 1429958333.0, 1429958363.0, 1429958365.0, 1429958421.0, 1429958573.0, 1429958612.0, 1429958612.0, 1429958632.0, 1429958637.0, 1429958674.0, 1429958736.0, 1429958760.0, 1429958805.0, 1429976092.0, 1429977079.0, 1429982792.0, 1429983835.0, 1429984474.0, 1429984559.0, 1429991274.0, 1429991691.0, 1429995905.0, 1429997007.0, 1429997124.0, 1429997262.0, 1429997301.0, 1429997468.0, 1429997722.0, 1429997890.0, 1429998028.0, 1429998364.0, 1429999241.0, 1430000849.0, 1430004313.0, 1430005083.0, 1430005143.0, 1430005847.0, 1430005882.0, 1430005885.0, 1430005895.0, 1430005897.0, 1430005909.0, 1430005913.0, 1430005913.0, 1430005929.0, 1430005960.0, 1430005961.0, 1430005966.0, 1430005980.0, 1430005980.0, 1430005981.0, 1430005982.0, 1430005991.0, 1430005996.0, 1430005996.0, 1430006005.0, 1430006009.0, 1430006015.0, 1430006015.0, 1430006019.0, 1430006024.0, 1430006039.0, 1430006047.0, 1430006069.0, 1430006073.0, 1430006077.0, 1430006107.0, 1430006118.0, 1430006136.0, 1430006144.0, 1430006174.0, 1430006190.0, 1430006207.0, 1430006279.0, 1430006317.0, 1430006320.0, 1430006354.0, 1430006356.0, 1430006457.0, 1430006534.0, 1430006536.0, 1430006558.0, 1430006755.0, 1430006789.0, 1430006918.0, 1430006982.0, 1430006988.0, 1430007108.0, 1430007237.0, 1430007507.0, 1430007590.0, 1430007690.0, 1430007780.0, 1430007901.0, 1430007968.0, 1430007979.0, 1430008020.0, 1430008118.0, 1430008173.0, 1430008663.0, 1430008815.0, 1430008822.0, 1430008836.0, 1430008840.0, 1430008850.0, 1430008857.0, 1430008895.0, 1430008920.0, 1430008927.0, 1430008948.0, 1430008958.0, 1430008984.0, 1430008999.0, 1430009013.0, 1430009257.0, 1430009331.0, 1430009350.0, 1430009393.0, 1430009426.0, 1430009456.0, 1430009457.0, 1430009462.0, 1430009471.0, 1430009479.0, 1430009518.0, 1430009559.0, 1430009572.0, 1430009619.0, 1430009641.0, 1430009686.0, 1430009698.0, 1430009723.0, 1430009723.0, 1430009734.0, 1430009801.0, 1430009804.0, 1430009883.0, 1430009917.0, 1430009954.0, 1430009959.0, 1430009979.0, 1430010055.0, 1430010163.0, 1430010256.0, 1430010291.0, 1430010307.0, 1430010368.0, 1430010387.0, 1430010431.0, 1430010476.0, 1430010485.0, 1430010490.0, 1430010596.0, 1430010609.0, 1430010817.0, 1430010888.0, 1430010965.0, 1430011018.0, 1430011187.0, 1430011190.0, 1430011244.0, 1430011291.0, 1430011432.0, 1430011631.0, 1430011653.0, 1430012220.0, 1430012366.0, 1430012584.0, 1430012585.0, 1430012754.0, 1430012906.0, 1430013098.0, 1430013213.0, 1430013260.0, 1430013296.0, 1430013302.0, 1430013612.0, 1430013627.0, 1430013721.0, 1430013774.0, 1430013974.0, 1430014316.0, 1430014601.0, 1430014746.0, 1430014800.0, 1430015035.0, 1430015104.0, 1430015229.0, 1430015284.0, 1430015397.0, 1430015686.0, 1430016628.0, 1430016934.0, 1430016941.0, 1430017053.0, 1430017075.0, 1430017182.0, 1430017227.0, 1430019066.0, 1430019129.0, 1430019140.0, 1430019283.0, 1430019345.0, 1430019923.0, 1430020172.0, 1430020250.0, 1430020961.0, 1430022342.0, 1430022490.0, 1430022623.0, 1430022833.0, 1430022903.0, 1430023383.0, 1430024472.0, 1430024981.0, 1430026097.0, 1430027703.0, 1430028502.0, 1430028691.0, 1430029354.0, 1430032571.0, 1430032954.0, 1430033030.0, 1430033172.0, 1430033845.0, 1430038857.0, 1430039823.0, 1430039843.0, 1430039878.0, 1430039894.0, 1430039915.0, 1430039991.0, 1430040022.0, 1430040086.0, 1430040086.0, 1430040116.0, 1430040140.0, 1430040178.0, 1430040188.0, 1430040214.0, 1430040229.0, 1430040235.0, 1430040345.0, 1430040370.0, 1430040508.0, 1430040541.0, 1430040604.0, 1430040614.0, 1430040867.0, 1430041723.0, 1430041790.0, 1430041986.0, 1430042135.0, 1430042347.0, 1430042365.0, 1430042965.0, 1430043749.0, 1430043919.0, 1430044481.0, 1430045988.0, 1430047089.0, 1430048255.0, 1430051950.0, 1430052940.0, 1430053693.0, 1430054358.0, 1430054664.0, 1430054970.0]",340,42568395,,284,https://twitter.com/anyuser/status/591990694153031682,88600.0,"Embassy of India Kathmandu Control room numbers are +977- 012081148 and 012081141, 9818968752, 9818968780",4. International response and international support,0
